,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10
Cell1,9.613769069048036,5.2328328525055925,3.7629448136901167,6.51518119604154,4.824178822095276,1.7487290987653548,7.687167394821465,9.579743824350462,2.342170388380209,3.491656182701485
Cell2,3.498833233858607,7.702059560984869,1.2129416099749368,3.8056103421058696,5.760492076207959,5.169131547670589,6.676396185035495,4.468657982661441,8.29512266861814,5.6078815924967
Cell3,8.614589954467247,6.332051780108765,9.98171436333007,3.3793666985203306,8.887127903389665,4.522064056552891,2.9559257108599657,0.42645971996179033,4.649354849946671,7.872756286234218
Cell4,1.93252595589253,8.611500114559908,2.353414875257757,1.5755112387704107,9.474834841163856,3.477717381915544,7.469804828944473,8.228351421438898,8.578532457078389,8.89031410402245
Cell5,2.926968355407409,6.9483910370034785,2.609344993674484,6.46116175011433,6.61501792522751,2.646096619677963,2.6784440405468466,0.6005371398233517,2.356106436879709,8.650683432488055
Cell6,1.5817905264015097,9.181784117192407,5.8824544015953535,5.8722765046524374,2.663980170448965,5.072026695545446,2.1591279818207534,7.2035872815999005,2.9082667712812027,9.18025454001694
Cell7,8.569487266648409,0.3964806481117056,8.917705691912463,8.454705298486925,3.999932257189751,0.8634505631227607,2.322989437894022,7.205963492895416,8.678091323826736,2.563023274699634
Cell8,5.545060683556598,0.0757473404230058,5.134838291114966,1.9474543940310018,0.732393125465155,2.5404775981107006,7.541866799231476,6.487376585567786,0.25508395178052146,5.650039948358399
Cell9,9.516186064122149,7.215902091078515,5.117769530983475,8.586889510506783,1.1074156204032692,3.5371885090067465,4.111126619333707,4.214788660617044,6.455154387221884,2.754889128232353
Cell10,2.059034530414683,4.642905388082542,5.380137930036658,4.969782177722893,1.938355293298093,7.8761932518886555,0.3576004391569987,7.852033548291859,8.427140530215798,4.967820114641601
Cell11,3.1052295694594614,3.7469221673127038,8.491074770809806,7.463260587760327,2.6609127621440676,0.6337424293619054,0.20660336479413233,6.268895288669877,1.8841980324188246,2.1514927431086206
Cell12,5.741168097574558,3.6590200409368325,3.7642891917425514,2.327391099317789,1.5088316842298766,8.730704002708137,7.175546666886681,1.6398282112401708,5.543408031644663,9.642019571751849
Cell13,4.318771248329422,6.270533737295759,9.182127364621248,4.274237498300453,3.9712119319282504,4.933044974265392,7.713874742740371,2.863304341943188,3.2870029384148447,3.8697029755727796
Cell14,2.676896790802309,3.445773178701441,3.600972634974612,2.9487015913898973,5.071110867973896,7.306047970544101,7.134331046113377,3.393314506453158,1.1975169543845665,8.906448896902315
Cell15,1.474075220992347,0.3052471413588054,0.34780231861873956,9.711709700704262,9.298126874715116,3.272029752340794,2.798824767031176,7.8551990654767,8.692595441876222,1.8204035771289495
Cell16,3.185438014213643,5.034610030475206,0.664078155655361,6.3899793656007144,1.5384320504496474,0.6529288352415574,7.571949645984666,9.541209854896021,0.5546214116728576,0.8194727646449895
