,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10
Cell1,5.866764260720726,9.981305900120262,7.7838164657723405,2.2759338272958995,6.742382318266772,7.976995270859746,5.2945805255634815,0.9481435244426728,6.189884570073712,2.3779751869220247
Cell2,3.989647177362843,6.305706931970705,5.802828916007422,3.362238315455417,1.3794707991914434,3.283765912619284,3.352035805299259,1.3653938653594289,2.2028655238668096,2.415377731087162
Cell3,2.4533831549599494,4.093213647637736,2.068942108338272,6.5580609561517855,4.604774518832154,2.3026685718472417,8.894757572757326,4.619150373938221,5.989038486608742,6.106216243176843
Cell4,8.313016023454665,1.2346022752581376,6.604282740999727,6.299655224817785,3.1889875153630642,5.83279093231475,4.48835073653047,2.1270877235361265,1.2911013664872595,5.990156239904349
Cell5,1.5813024592908298,1.9555472879680424,5.984041348582275,4.84368203307544,5.94887870427772,6.979991562524708,2.7326223171394393,6.59970512305165,3.542933003841322,7.3964145100849485
Cell6,8.766160271335309,6.029699614733904,5.312709758876456,4.346372718601112,4.7475250947144465,9.624474136326844,4.786692995180697,6.403497488837773,4.222534390201805,4.346366638551299
Cell7,5.458123939758812,8.446656267086762,9.858252555575023,8.262205896706082,9.88076585091466,0.8978934295894647,5.105172789743984,6.487014836909801,2.4302573323669585,5.9934993313411375
Cell8,8.98928197929934,0.44958047939176904,2.8852963554629474,6.236505860236875,6.508602072746185,0.9305321817799139,6.0909047159718765,6.883077383306261,4.512024730813307,8.86850385468178
Cell9,9.776352869672788,3.0077660376059114,4.183044356796454,2.8955403676889455,2.4581506996844906,6.7687462637926545,1.7971784695625137,8.767547308931167,4.987032368808812,5.608613718342379
Cell10,8.34054098792561,2.020672660936916,2.558727464578492,3.2470293201037927,9.169425164338874,3.994198012246449,5.299298146621214,7.187250363122715,4.44193929394884,2.386340816538003
Cell11,9.395087793515897,4.593840011220233,0.48660733420727964,5.6762013703745495,1.4039330222999802,7.7215475414352905,5.708998832090869,5.287195079213918,9.857953719936013,2.620627723336696
Cell12,8.440199212620788,3.980763923742605,9.018089265101219,3.2379821249705687,4.278499624422229,4.006960498142598,5.619767045070434,5.688579481497646,0.5355586273824331,8.91214988239031
Cell13,7.8027684267663355,0.7146592362691895,4.889110116933377,7.104175474358241,1.2539900306754503,8.889935776283048,6.161635389218695,4.145253765743547,2.5576343268163813,5.933030567543893
Cell14,6.185069440989301,5.668568036107041,5.245362285545257,2.4859346137472293,7.944595774788031,2.38107756548862,9.307809031191557,4.644550487781512,8.481386937027054,9.291673202444597
Cell15,7.913059435193022,3.6671838551415927,0.4191630053726836,4.154148883901541,7.629317692239431,4.724759681758454,9.241504602911357,6.048255047618366,9.596629129376481,8.198885066459797
Cell16,2.8795830119552637,1.56211117289486,4.737466049206097,8.923825951166734,3.9428054609055474,4.422956381737423,3.4445017587048197,2.578785324962235,9.639780188105833,8.33718744898417
Cell17,3.3613180235621334,8.631599557781378,8.477977304479749,6.008221908399553,7.673024986878484,7.155849250735398,9.681450837476092,3.1822024242402858,6.81765896309502,7.859798223082942
Cell18,6.2052487116601585,1.5396845852129637,5.58258924001509,4.835762425057354,5.116046923183045,2.5140152640997506,6.423380906444391,9.692289313629551,8.470815491875912,3.3230003040469915
Cell19,7.701398383188698,3.481489493594261,8.098438114750223,2.08378567273084,2.4839462453424446,3.638404801444204,6.679127656362755,3.890469791411373,8.760135887457016,4.018659268930222
Cell20,3.275188666284121,3.0598811051931616,8.703218788925007,7.7170123182513874,1.2053062258066893,1.7818809238758693,1.4811746280654947,8.664221498661798,6.870356102996464,5.478098991538964
